gene_id,fisher_stat,fisher_pval,n_studies,mean_log2fc,median_log2fc,sd_log2fc,n_up,n_down,n_sig,direction_concordance,fisher_fdr,meta_log2fc,meta_se,meta_z,meta_pval,meta_ci_lb,meta_ci_ub,meta_I2,meta_tau2,meta_n,meta_het_pval,meta_fdr,consensus_class,direction,is_gwas_gene,is_de_gene,is_consensus_de,is_overlap,is_consensus_overlap,gwas_traits,n_gwas_associations
AT1G73500,731.151694991622,1.87324865905671e-130,18,-0.28462696144589,-0.159334910634542,0.474629610711653,0,3,3,0.777777777777778,1.0043747794803899e-128,-0.317654617910468,0.130186624586256,-2.43999426915016,0.0146874949098343,-0.572815713368367,-0.0624935224525694,89.3019887793031,0.226086379776598,18.0,1.22867247681053e-48,0.145901969347471,fisher_only,downregulated,True,True,False,True,False,clim-gs6;clim-gs7,11.0
AT2G19130,727.883786460219,8.89681811259888e-130,18,-0.251319391459837,-0.187522342322549,0.506235831133316,0,5,5,0.666666666666667,4.70696999859322e-128,-0.330637904642945,0.122113169844246,-2.70763509836548,0.0067764484016735,-0.569975319575689,-0.0913004897102005,88.8785887470709,0.206040053271431,18.0,3.29135541771358e-36,0.0902668161418308,fisher_only,downregulated,True,True,False,True,False,DTF sweden 2008 (2nd experiment),4.0
AT1G04680,726.3649816708,1.83510835431593e-129,18,0.214119277292177,-0.0252786028955334,0.778150827873416,2,0,2,0.5,9.65963069952849e-128,0.231697072726204,0.196176533615224,1.18106415918557,0.237577236584103,-0.152801867771545,0.616196013223954,94.6087871104122,0.620848226446148,18.0,8.090566041198281e-105,0.612403484843482,fisher_only,upregulated,True,True,False,True,False,LRL125,398.0
AT3G52940,722.076782793238,1.41658416296432e-128,18,0.0629121811163467,-0.065975312312835,0.549910799332363,2,0,2,0.666666666666667,7.30836328449417e-127,0.0908136957144099,0.136885321978749,0.663429025125925,0.507055821718161,-0.177476605376107,0.359103996804927,94.9471116704325,0.299545074884184,18.0,1.76867753905464e-111,0.812379083931109,fisher_only,upregulated,True,True,False,True,False,Basal75,345.0
AT4G24020,716.616792575898,1.909800184007e-127,18,-0.121697598341576,-0.0494120098257723,0.367638324897562,1,3,4,0.611111111111111,9.61401933561081e-126,-0.129904161012676,0.0987219443749873,-1.31585902035362,0.188221365314415,-0.323395616471417,0.063587294446066,93.7262029710317,0.143916208852181,18.0,7.10499955867145e-85,0.554665132156607,fisher_only,downregulated,True,True,False,True,False,Basal125,2.0
AT3G02170,704.636920944754,5.73169018380991e-125,18,0.362664733827999,0.287132287676783,0.498901920202872,6,0,6,0.833333333333333,2.77241800773456e-123,0.393381864350311,0.131494621210713,2.99161943453139,0.0027750196415913,0.135657142616578,0.651106586084045,90.4718274236583,0.255122275171441,18.0,5.31407440528026e-51,0.0504481846826655,fisher_only,upregulated,True,True,False,True,False,clim-gs tmax,60.0
AT1G53520,701.480436385505,2.5742809958189597e-124,18,0.154258386002237,-0.0291100360418511,1.09332781025661,4,2,6,0.5,1.2302740144014698e-122,0.181879818947757,0.263892001546996,0.689220658002269,0.490684418688628,-0.335338999892544,0.699098637788057,97.3927683913093,1.15233956015919,18.0,6.5011558396936706e-111,0.803264667736504,fisher_only,upregulated,True,True,False,True,False,Mean(TLRL) C,3.0
AT1G47900,695.489073465362,4.45168075474003e-123,18,0.12960571404414,-0.0607691329697494,0.566859839516205,2,1,3,0.611111111111111,2.09661236707588e-121,0.149335960728105,0.142300199731331,1.04944308588504,0.293974236834642,-0.12956730573816,0.42823922719437,94.1964456837552,0.326930718978758,18.0,5.83531193254353e-97,0.668582245464672,fisher_only,upregulated,True,True,False,True,False,aLRLpMRL0,468.0
AT1G03780,693.419375026091,1.19128525019558e-122,18,0.200373906424245,0.0569399036770435,0.778897744964891,2,1,3,0.555555555555556,5.580225250036191e-121,0.231442882910374,0.189226417855178,1.22310027074288,0.221291826388448,-0.139434081009302,0.60231984683005,97.1412997464683,0.564907256220818,18.0,5.5572228820679095e-123,0.594292064709267,fisher_only,upregulated,True,True,False,True,False,clim-bio12,1552.0
AT1G01430,688.649187181799,1.15090158027887e-121,18,-0.031379334286673,-0.0455982728140288,0.435056304642847,2,3,5,0.611111111111111,5.290783252263371e-120,-0.0226291758828203,0.11156813394448,-0.202828308431522,0.83926923087054,-0.241298700236342,0.196040348470701,93.7295103824813,0.189467077084353,18.0,5.48519420877926e-95,0.951676578633686,fisher_only,downregulated,True,True,False,True,False,rSurvival fruit mhi,414.0
AT1G32170,687.082630093027,2.42353140525164e-121,18,-0.130877763728668,-0.224619068212805,0.443099905324516,1,4,5,0.666666666666667,1.11018273136774e-119,-0.188615404667614,0.11018739402935,-1.71176935736745,0.0869391811897662,-0.404578728515463,0.0273479191802356,91.7170877720415,0.159106208925509,18.0,2.3033328849261e-29,0.385303876044233,fisher_only,downregulated,True,True,False,True,False,DSDS50,22.0
AT5G07100,683.526497886515,1.31358566856933e-120,18,0.214077822628258,0.0167039995830094,1.06875382993166,2,3,5,0.555555555555556,5.95947637975673e-119,0.10388420806419,0.206002166013747,0.504286969765442,0.614059732697838,-0.299872618059995,0.507641034188375,96.1493471224447,0.66495440655627,18.0,1.3400321942036602e-60,0.865005298959997,fisher_only,upregulated,True,True,False,True,False,clim-tmax3;clim-tmax11;clim-tmax4;clim-tmax8;clim-bio1;clim-pet8;clim-tmax9;clim-aet4;clim-tmax2,2221.0
AT1G09640,680.501063854156,5.5305992605222706e-120,18,0.0403757346809573,-0.0095262207286263,0.334607267602546,2,2,4,0.555555555555556,2.4766491132042e-118,0.0214350410118043,0.0789211732078111,0.271600638213559,0.785929108672218,-0.133247616093153,0.176117698116761,96.2890595726348,0.101536290906184,18.0,3.48725233014614e-99,0.933200885077567,fisher_only,upregulated,True,True,False,True,False,rSurvival fruit mhi,414.0
AT1G48840,677.292557667052,2.5392495487741e-119,18,0.122143261035385,0.221070411469381,0.773620504027675,4,2,6,0.611111111111111,1.1206597859772502e-117,0.0753460848635999,0.173325194097522,0.434709363840124,0.663773400724811,-0.264365053180958,0.415057222908158,97.0540456393989,0.489933461043416,18.0,7.52119475523338e-114,0.886373688165316,fisher_only,upregulated,True,True,False,True,False,Leaf roll 16,4.0
AT5G63600,671.14402647765,4.70675042566805e-118,18,-0.153931848338784,-0.208297755718258,0.94257065945741,1,5,6,0.555555555555556,2.0306322015178498e-116,-0.258225289208715,0.23226798426918,-1.11175584539216,0.266243141278004,-0.713462173138023,0.197011594720593,95.1242899794952,0.716086966369337,18.0,4.47331863588761e-36,0.641784015149041,fisher_only,downregulated,True,True,False,True,False,RGR Zn norm,108.0
AT4G14680,670.769226290987,5.62337016662727e-118,18,0.0729384742764232,0.0088982499480952,0.86994407080492,3,1,4,0.555555555555556,2.4200541875466199e-116,0.105370582123833,0.209692816520174,0.502499722558191,0.615316047506622,-0.305619786072473,0.516360950320139,95.8962376587697,0.715400202599036,18.0,1.99102094122776e-96,0.865376660404627,fisher_only,upregulated,True,True,False,True,False,clim-gs8,28.0
AT1G64610,668.372327548306,1.7544050471240502e-117,18,-0.0623642034131226,0.0994076095040221,0.440907972665544,2,3,5,0.555555555555556,7.463555438588949e-116,-0.0760554689853636,0.111593396093058,-0.681540948193216,0.495529265770726,-0.294774506240269,0.142663568269542,93.6643311868552,0.185792015700144,18.0,2.15913347159366e-80,0.805873658155441,fisher_only,downregulated,True,True,False,True,False,clim-aet7,3.0
AT5G63620,659.112277869683,1.41985854607382e-115,18,-0.0566634361789701,0.0210577994380656,0.27659419742585,0,4,4,0.555555555555556,5.8672036942498e-114,-0.0940152101264804,0.070724316308041,-1.32931946230481,0.183742595960171,-0.23263232292146,0.0446019026684988,90.6453016528537,0.0720143988961941,18.0,1.8370424978813e-57,0.548805529261269,fisher_only,downregulated,True,True,False,True,False,RGR Zn norm,108.0
AT5G43930,649.172917044399,1.58025106164145e-113,18,0.0634950575342748,0.0068300897423951,0.436173187874939,3,2,5,0.5,6.31382681680161e-112,0.0218746360810746,0.0991531573141701,0.220614619580535,0.825392516744438,-0.172461981208133,0.216211253370282,93.0934174897539,0.149581829597687,18.0,2.6240824675975402e-58,0.947735508238595,fisher_only,upregulated,True,True,False,True,False,PC3sc75;aLRL75;aLRLpMRL75,527.0
AT1G01540,637.566145418066,3.85781371399149e-111,18,0.0454667434461592,0.0205002014145772,0.398802134315041,3,1,4,0.555555555555556,1.48755118551168e-109,0.061315395794968,0.102670611974702,0.597204931534608,0.550370567075921,-0.139915305946134,0.26254609753607,93.7978424029604,0.164794618412134,18.0,1.5041279726327501e-93,0.834940188670776,fisher_only,upregulated,True,True,False,True,False,LRL125,398.0
AT1G55330,610.631243383944,8.4996037560278e-111,14,0.123811108792078,-0.254795011575503,0.821022247924488,2,2,4,0.642857142857143,3.2628545454260302e-109,0.142933267912657,0.231607727174984,0.617135143356714,0.537145590142738,-0.311009535891491,0.596876071716804,96.3112708108699,0.663559404054496,14.0,1.87220672795846e-102,0.828480686077643,fisher_only,upregulated,True,True,False,True,False,CL,59.0
